Phenotype [application],Phenotype [development],Category [application],Category [development],Author,Year,Title,n CpGs [application],n CpGs [development],Based on,Sample size [application],Sample size [development],n Cases [application],n Cases [development],n Controls [application],n Controls [development],Sample type [application],Sample type [development],Developmental period [application],Developmental period [development],Tissue [application],Tissue [development],Array [application],Array [development],Ancestry [application],Ancestry [development],Dimension reduction (1) [application],Dimension reduction (1) [development],Dimension reduction (2) [application],Dimension reduction (2) [development],Dimension reduction (3) [application],Dimension reduction (3) [development],Dimension reduction (4) [application],Dimension reduction (4) [development],Dimension reduction (5) [application],Dimension reduction (5) [development],Weights estimation [application],Weights estimation [development],Internal validation [application],Internal validation [development],External validation [application],External validation [development],Performance [application],Performance [development],Comparison [application],Comparison [development],Missing_value_note [application],Missing_value_note [development],Covariates [application],Covariates [development],Sample_overlap_target_base [application],Sample_overlap_target_base [development]
Kabuki syndrome,Kabuki syndrome,Genetic syndromes,Genetic syndromes,Geysens et al.,2025.0,Clinical evaluation of long-read sequencing-based episignature detection in developmental disorders,,,Pre-established MPS,9.0,,3.0,,6.0,,Case control,Cohort,Childhood and adolescence,Not reported,Peripheral blood,Blood,Nanopore sequencing,450K,Not reported,Not reported,Biological relevance | Functional annotation | Included in EpiSign,Association DNAm phenotype | P-value | p < .05,,Association DNAm phenotype | Actual change in methylation | > 10%,,Pruning | Pairwise correlation | ?,,,,,Machine learning | Support vector machine,Not reported,Yes,Unclear,No,Unclear,Reported | Numerical match ,Not reported,Yes,No,Not reported,Not reported,Not reported,"Age, seks, cell type, batch",,
Sotos syndrome,Sotos syndrome,Genetic syndromes,Genetic syndromes,Geysens et al.,2025.0,Clinical evaluation of long-read sequencing-based episignature detection in developmental disorders,,,Pre-established MPS,9.0,,3.0,,6.0,,Case control,Cohort,Childhood and adolescence,Not reported,Peripheral blood,Blood,Nanopore sequencing,450K,Not reported,Not reported,Biological relevance | Functional annotation | Included in EpiSign,Association DNAm phenotype | P-value | p < .05,,Association DNAm phenotype | Actual change in methylation | > 10%,,Pruning | Pairwise correlation | ?,,,,,Machine learning | Support vector machine,Not reported,Yes,Unclear,No,Unclear,Reported | Numerical match ,Not reported,Yes,No,Not reported,Not reported,Not reported,"Age, seks, cell type, batch",,
"Intellectual developmental disorder, autosomal dominant 23 (MRD23)","Intellectual developmental disorder, autosomal dominant 23 (MRD23)",Genetic syndromes,Genetic syndromes,LaFlamme et al.,2024.0,Diagnostic utility of DNA methylation analysis in genetically unsolved pediatric epilepsies and CHD2 episignature refinement,,,Pre-established MPS,516.0,,2.0,,514.0,,Case control,Case control,Not reported,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 999,,Association DNAm phenotype | AUC | top-ranking 100-149,,Pruning | R-squared | 0.60-0.79,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Not reported,Not assessed,Not reported,No,No,No,Not reported,Not reported,"Cell type, 10 PCs",No,
Kabuki syndrome,Kabuki syndrome,Genetic syndromes,Genetic syndromes,Mannisto et al.,2025.0,Congenital Hyperinsulinism and Novel KDM6A Duplications -Resolving Pathogenicity With Genome and Epigenetic Analyses,153.0,153.0,Pre-established MPS,2.0,836.0,2.0,87.0,,749.0,Cohort study,Case control,Childhood,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),Not reported,Not reported,No,No,Not reported,No,Not reported,"Cell type, 10 PCs",No,
Central nervous system tumour ,Central nervous system tumour ,Cancer,Cancer,Mathew et al.,2025.0,Comprehensive Genomic Characterization of Congenital and Infantile Cancers Reveals High Yield of Medically Meaningful Findings,,,Pre-established MPS,22.0,2801.0,22.0,,,,Cohort study,Cohort,Childhood,Childhood and adolescence,Tumour cells,Tumour cells,EPICv1,450K,Mixed,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 999,,Association DNAm phenotype | AUC | top-ranking 100-149,,Pruning | R-squared | 0.60-0.79,,,,,,Machine learning | Random forest,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 1104),Not reported,Reported | AC = .99,No,No,Not reported,No,Not reported,batch,No,
C-reactive protein,C-reactive protein,Biological markers,Biological markers,Merrill et al.,2024.0,Telehealth Parenting Program and Salivary Epigenetic Biomarkers in Preschool Children With Developmental Delay: NIMHD Social Epigenomics Program,8.0,8.0,Pre-established MPS,71.0,12974.0,34.0,,37.0,,Case control,Cohort,Early childhood,Adulthood,Saliva,Whole blood,EPICv1,450K,Mixed,Mixed,,Association DNAm phenotype | P-value | top-ranking ?,,Pruning | R-squared | 0.1,,,,,,,,Discovery EWAS | Linear mixed model,No,No,No,No,Not reported,Reported | Explained variance = 2.3-5.8,No,No,Not reported,Not reported,"baseline DNAm score, child demographics,  symptom severity, buccal epithelial cell proportion","age, sex, white blood cell proportions, technical covariates (array number and position on array), smoking (current, former and never), and BMI.",No,
IL6,IL6,Biological markers,Biological markers,Merrill et al.,2024.0,Telehealth Parenting Program and Salivary Epigenetic Biomarkers in Preschool Children With Developmental Delay: NIMHD Social Epigenomics Program,35.0,35.0,Pre-established MPS,71.0,875.0,34.0,,37.0,,Case control,Population-based,Early childhood,Adulthood,Saliva,Whole blood,EPICv1,450K,Mixed,European,,,,,,,,,,,,Penalized regression | Elastic net,No,No,No,Yes (n=7028),Not reported,"Reported | R2 = 4.4%, p = 2.1 × 10-5",No,No,Not reported,Reported | removed,"baseline DNAm score, child demographics,  symptom severity, buccal epithelial cell proportion","age, sex, cell-type",No,
Socioeconomic position,Socioeconomic position,Lifestyle and environment,Lifestyle and environment,Rajaprakash et al.,2024.0,DNA methylation signatures of prenatal socioeconomic position associated with 36-month language outcomes,18.0,,Published summary statistics (semi-supervised),97.0,,,,,,Cohort study,,Birth,Birth,Placenta,Placenta,450K,EPICv1,Mixed,Mixed,Association DNAm phenotype | P-value | ?,,Reproducibility | Array | 450K,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Not reported,,age and race,"maternal age, maternal race (White vs. not-White), infant sex, birth weight z-score, gestational age, acute inflammation of the placenta chorion, the top 10 surrogate variables from SmartSVA to account for cell-type heterogeneity, and second-hand smoking exposure during pregnancy.",No,
Socioeconomic position,Socioeconomic position,Lifestyle and environment,Lifestyle and environment,Rajaprakash et al.,2024.0,DNA methylation signatures of prenatal socioeconomic position associated with 36-month language outcomes,,,Published summary statistics (semi-supervised),97.0,,,,,,Cohort study,,Birth,Birth,Placenta,"Multiple (Placenta, Cord blood)",450K,"Multiple (450K, EPICv1, PCR)",Mixed,"Multiple (Mixed, White)",Association DNAm phenotype | P-value | ?,,Reproducibility | Array | 450K,,Biological relevance | Functional annotation | Grouped to genes,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Not reported,,age and race,"Multiple (maternal age, maternal race (White vs. not-White), infant sex, birth weight z-score, gestational age, acute inflammation of the placenta chorion, the top 10 surrogate variables from SmartSVA to account for cell-type heterogeneity, and second-hand smoking exposure during pregnancy., birthweight, parity,gestational age, sex of the newborn, and technical variables: bead array row and bisulphite conversion batch., Maternal age, pre-pregnancy body mass index, race, infant sex and birth weight percentile)",No,
Socioeconomic position,Socioeconomic position,Lifestyle and environment,Lifestyle and environment,Rajaprakash et al.,2024.0,DNA methylation signatures of prenatal socioeconomic position associated with 36-month language outcomes,29.0,,Published summary statistics (semi-supervised),127.0,,,,,,Cohort study,,Birth,Birth,Cord blood,Cord blood,450K,450K,Mixed,Mixed,Association DNAm phenotype | P-value | ?,,Reproducibility | Array | 450K,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Not reported,,age and race,"age at enrollment, race/ethnicity, Smoking habits during pregnancy, Infant sex, Gestational age at delivery (for birth analyses), Child’s age at methylation assessment (for early and mid-childhood analyses instead of gestational age), Estimated cell type composition (cord blood reference at birth, adult leukocyte reference for later ages)",No,
Socioeconomic position,Socioeconomic position,Lifestyle and environment,Lifestyle and environment,Rajaprakash et al.,2024.0,DNA methylation signatures of prenatal socioeconomic position associated with 36-month language outcomes,,,Published summary statistics (semi-supervised),127.0,,,,,,Cohort study,,Birth,Birth,Cord blood,Cord blood,450K,"Multiple (450K, PCR)",Mixed,Mixed,Association DNAm phenotype | P-value | ?,,Reproducibility | Array | 450K,,Biological relevance | Functional annotation | Grouped to genes,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Not reported,,age and race,"Multiple (age at enrollment, race/ethnicity, Smoking habits during pregnancy, Infant sex, Gestational age at delivery (for birth analyses), Child’s age at methylation assessment (for early and mid-childhood analyses instead of gestational age), Estimated cell type composition (cord blood reference at birth, adult leukocyte reference for later ages), r race/ethnicity or SES)",No,
Maternal age at conception,Maternal age at conception,Lifestyle and environment,Lifestyle and environment,Segura et al.,2025.0,Methylation profile scores of environmental exposures and risk of relapse after a first episode of schizophrenia,9.0,,Published summary statistics (semi-supervised),91.0,,,,,,Cohort study,,Adolescence,Birth,Blood,Cord blood,EPICv1,450K,White,European,Association DNAm phenotype | P-value | p < .05,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Not reported,,"Age, sex and tobacco consumption,PRS of educational attainment","technical factors, facial cleft status, seks, birth weight, maternal alcohol use, maternal smoking, maternal edu, partiyu",,
Pre-pregnancy overweight,Pre-pregnancy overweight,Lifestyle and environment,Lifestyle and environment,Segura et al.,2025.0,Methylation profile scores of environmental exposures and risk of relapse after a first episode of schizophrenia,4037.0,,Published summary statistics (semi-supervised),91.0,,,,,,Cohort study,,Adolescence,Birth,Blood,Cord blood,EPICv1,450K,White,Mixed,Association DNAm phenotype | P-value | p < .05,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Not reported,,"Age, sex and tobacco consumption,PRS of educational attainment","maternal age, maternal social class, maternal smoking status and parity, technical covariates, cell type",,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Segura et al.,2025.0,Methylation profile scores of environmental exposures and risk of relapse after a first episode of schizophrenia,845.0,,Published summary statistics (semi-supervised),91.0,,,,,,Cohort study,,Adolescence,Birth,Blood,Cord blood,EPICv1,450K,White,Mixed,Association DNAm phenotype | P-value | p < .05,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Not reported,,"Age, sex and tobacco consumption,PRS of educational attainment","maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate",,
Gestational diabetes,Gestational diabetes,Lifestyle and environment,Lifestyle and environment,Segura et al.,2025.0,Methylation profile scores of environmental exposures and risk of relapse after a first episode of schizophrenia,277.0,,Published summary statistics (semi-supervised),91.0,,,,,,Cohort study,,Adolescence,Birth,Blood,Cord blood,EPICv1,EPICv1,White,Mixed,Association DNAm phenotype | P-value | p < .05,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Not reported,,"Age, sex and tobacco consumption,PRS of educational attainment","maternal age, smoking, ethnicity, parity, neonate sex, and the predicted values for B cells, CD4 T cells, CD8 T cells, granulocytes, monocytes,natural killer cells, and nucleated red blood cell composition. ",,
Hypertensive disorders of pregnancy,Hypertensive disorders of pregnancy,Lifestyle and environment,Lifestyle and environment,Segura et al.,2025.0,Methylation profile scores of environmental exposures and risk of relapse after a first episode of schizophrenia,1075.0,,Published summary statistics (semi-supervised),91.0,,,,,,Cohort study,,Adolescence,Birth,Blood,Cord blood,EPICv1,450K,White,Mixed,Association DNAm phenotype | P-value | p < .05,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Not reported,,"Age, sex and tobacco consumption,PRS of educational attainment","adjusted for confounders [maternal age (years), parity (nulliparous vs multiparous), maternal smoking status (no smoking in pregnancy, stopped smoking in early pregnancy, smoking throughout pregnancy), diabetes mellitus (no preexisting or gestational diabetes mellitus vs prepregnancy or gestational diabetes mellitus), maternal prepregnancy body mass index (kg/m2 ), and child sex], cell proportions, and technical covariates [batch effects]",,
Pre-eclampsia,Hypertensive disorders of pregnancy,Lifestyle and environment,Lifestyle and environment,Segura et al.,2025.0,Methylation profile scores of environmental exposures and risk of relapse after a first episode of schizophrenia,542.0,,Published summary statistics (semi-supervised),91.0,,,,,,Cohort study,,Adolescence,Birth,Blood,Cord blood,EPICv1,450K,White,Mixed,Association DNAm phenotype | P-value | p < .05,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Not reported,,"Age, sex and tobacco consumption,PRS of educational attainment","adjusted for confounders [maternal age (years), parity (nulliparous vs multiparous), maternal smoking status (no smoking in pregnancy, stopped smoking in early pregnancy, smoking throughout pregnancy), diabetes mellitus (no preexisting or gestational diabetes mellitus vs prepregnancy or gestational diabetes mellitus), maternal prepregnancy body mass index (kg/m2 ), and child sex], cell proportions, and technical covariates [batch effects]",,
